# Time-averaged data for fix OUT2
# TimeStep v_vT v_rho v_ent
702000 2019.73 6.72886 -4.39085
703000 2024.65 6.72449 -4.38471
704000 2014.21 6.72961 -4.39039
705000 2012.35 6.7263 -4.39115
706000 2007.86 6.73414 -4.39207
707000 2016.8 6.73021 -4.3844
708000 2011.19 6.73141 -4.39248
709000 2006.63 6.73273 -4.392
710000 2017.09 6.74214 -4.38521
711000 2010.35 6.73218 -4.39494
712000 2001.57 6.72809 -4.40932
713000 2009.28 6.73912 -4.38517
714000 2009.35 6.73743 -4.39185
715000 2001.64 6.73487 -4.39753
716000 2009.63 6.73717 -4.39138
717000 1995.7 6.7411 -4.38321
718000 2011.83 6.73724 -4.38812
719000 1998.82 6.73822 -4.39443
720000 1998.37 6.73156 -4.40131
721000 1998.98 6.73477 -4.3958
722000 2001.27 6.73716 -4.39208
723000 2001.7 6.74753 -4.38113
724000 1997.45 6.7446 -4.39103
725000 1989.78 6.73541 -4.40203
726000 1987.08 6.74205 -4.40289
727000 1994.34 6.73853 -4.39587
728000 1990.78 6.74611 -4.39652
729000 1995.63 6.74552 -4.39592
730000 1994.45 6.74466 -4.39753
731000 1992.46 6.75086 -4.39358
732000 1995.22 6.74486 -4.39923
733000 1976.68 6.73191 -4.42189
734000 1983.49 6.74391 -4.39915
735000 1998.87 6.74739 -4.38975
736000 1984.57 6.74259 -4.40177
737000 1990.15 6.74554 -4.40195
738000 1978.48 6.74788 -4.40507
739000 1988.42 6.74967 -4.39529
740000 1972.17 6.75393 -4.38881
741000 1973.9 6.74574 -4.40228
742000 1975.57 6.74996 -4.4044
743000 1982.59 6.7458 -4.40557
744000 1975.89 6.7516 -4.39426
745000 1969.29 6.76003 -4.39143
746000 1970.72 6.74824 -4.40399
747000 1968.47 6.7497 -4.40532
748000 1973.63 6.74869 -4.40494
749000 1975.29 6.75681 -4.40212
750000 1958.2 6.7527 -4.41205
751000 1972.26 6.74471 -4.41107
752000 1965.3 6.74873 -4.41676
753000 1965.54 6.75734 -4.39315
754000 1969.07 6.75048 -4.41679
755000 1966.29 6.74958 -4.41422
756000 1973.19 6.75462 -4.3973
757000 1954.79 6.75292 -4.4078
758000 1954.36 6.75236 -4.4087
759000 1963.21 6.75395 -4.40477
760000 1960.98 6.75539 -4.40335
761000 1950.5 6.75678 -4.4038
762000 1966.45 6.76095 -4.3992
763000 1961.18 6.76151 -4.39606
764000 1949.43 6.75295 -4.4193
765000 1953.5 6.75328 -4.41742
