# Time-averaged data for fix OUT
# TimeStep v_vT v_rho v_ent
742000 698.931 7.20282 -4.84982
743000 697.607 7.20265 -4.85249
744000 701.045 7.19996 -4.85157
745000 700.579 7.2019 -4.85218
746000 700.523 7.2024 -4.84926
747000 698.277 7.20564 -4.84594
748000 702.232 7.20337 -4.84725
749000 698.664 7.20485 -4.84755
750000 696.699 7.20367 -4.84725
751000 700.069 7.20615 -4.84462
752000 704.317 7.20569 -4.84286
753000 698.308 7.20412 -4.84745
754000 704.008 7.20451 -4.84622
755000 699.605 7.19888 -4.85325
756000 700.163 7.20178 -4.85037
757000 698.85 7.20113 -4.85114
758000 702.401 7.20142 -4.84959
759000 703.231 7.20195 -4.84956
760000 704.74 7.20683 -4.84319
761000 700.026 7.20681 -4.84228
762000 698.836 7.20467 -4.84649
763000 703.232 7.20418 -4.84478
764000 698.321 7.20162 -4.8507
765000 701.081 7.20096 -4.85152
766000 696.862 7.20131 -4.85364
767000 703.949 7.20275 -4.84797
768000 698.426 7.20432 -4.84629
769000 703.913 7.20527 -4.844
770000 698.094 7.21031 -4.83817
